stockid,stocklong,TBmsybest,ERmsybest,MSYbest,TBmgtbest,ERmgtbest,TBmsy,SSBmsy,Nmsy,MSY,Fmsy,ERmsy,TBmgt,SSBmgt,Fmgt,ERmgt,TB0,SSB0,M,TBlim,SSBlim,Flim,ERlim
HAKEMEDGSA20,Hake Eastern Ionian Sea,,,,,,,,,,,,,,0.27,,,,,,,,
HAKEMEDGSA22-23,Hake Aegean Sea and Crete Island,,,,,,,,,,,,,,0.24,,,,,,,,
HAKEMEDGSA9-11,Hake Geographical Sub-Areas 9-11,,,,,,,,,,,,,,0.2,,,,,,2355,,
HAKENRTN,Hake Northeast Atlantic North,,,,,,,,,,0.28,,,45000,0.28,,,,,,32000,0.87,
HAKESOTH,Hake Northeast Atlantic South,,,,,,,,,,0.25,,,11100,0.25,,,,,,8000,1.05,
HERR2224IIIa,Herring ICES 22-24-IIIa,110000,,,,,110000,,,,0.31,,,150000,0.31,,,,,,120000,0.45,
HERR2529-32,Herring Subdivisions 25-29 and 32,,,,,,,,,,0.22,,,6.00E+05,0.22,,,,,,430000,0.52,
HERR30-31,Herring Subdivisions 30-31,,,,,,,,,,0.21,,,283180,0.21,,,,,,202272,0.29,
HERR4RFA,Herring NAFO 4R fall spawners,,,,,,,,,,,,,,,,,,0.2,47953,,,
HERR4RSP,Herring NAFO 4R spring spawners,,,,,,,,,,,,,,,,,,0.2,37831,,,
HERR4TFA,Herring NAFO 4T fall spawners,,,,,,,,,,,,,,,,,,0.2,,51000,,
HERR4TSP,Herring NAFO 4T spring spawners,,,,,,,,,,,,,,,,,,0.2,,22000,,
HERR4VWX,Herring Scotian Shelf and Bay of Fundy,,,,,,,,,,,,,,,,,,0.2,,,,
HERRIsum,Herring Iceland (Summer spawners),,,,,,,,,,0.22,,,273000,0.22,,,,0.1,200000,2.00E+05,0.61,
HERRNIRS,Herring Northern Irish Sea,,,,,,,,,,0.266,,,11831,0.266,,,,,6000,8500,0.397,
HERRNORSS,Norwegian Spring Spawning Herring,,,,,,,,,,0.15,,,5000000,0.125,,,,,,2500000,,
HERRNS-IIIa-VIId,"Herring IIIa, VIId and North Sea",,,,,,,,,,0.26,,,1400000,0.26,,,,,800000,8.00E+05,0.34,
HERRNWATLC,Atlantic herring Northwestern Atlantic Coast,,,77247,,,,311145,,77247,0.24,,,,,,,,,,155572,0.24,
HERRPWS,Pacific herring Prince William Sound,,,,,,,,,,,,,,,,,,0.25,,,,
HERRRIGA,Herring ICES 28,,,,,,,60000,,,0.32,,,60000,0.32,,,,0.2,,40800,0.88,
HERRSIRS,Herring ICES VIIa-g-h-j,,,,,,,,,,0.26,,,61000,0.23,,,,,26000,54000,0.45,
HERRSITKA,Pacific herring Sitka,,,,,,,,,,,,,,,,,,0.2,,,,
HERRVIa,Herring ICES VIa,,,,,,,,,,0.25,,,75000,0.2,,,,,50000,50000,,
HERRVIaVIIbc,Herring ICES VIa-VIIb-VIIc,,,,,,,,,,0.16,,,410000,0.16,,,,,81000,250000,0.3,
HMACKIIa-IVa-Vb-VIa-VII-VIII,Horse mackerel IIa-IVa-Vb-VIa-VII-VIII,,,,,,,,,,0.108,,,911588,0.108,,,,,,661917,0.151,
HMACKIXa,Horse mackerel Portugese Waters -East,,,,,,,,,,0.11,,,181000,0.11,,,,,,103000,0.19,
HMACKWA,Horse Mackerel West Africa,,,,,,,,,,0.31,,,,,,,,,,,,
HOKIENZ,Hoki Eastern New Zealand,252068.9655,0.29,73100,,,252068.9655,177429.6,,73100,,0.29,,188518.95,,,,443574,0.29,,,,
HOKIWNZ,Hoki Western New Zealand,479200,0.25,119800,,,479200,309677.6,,119800,,0.25,,329032.45,,,,774194,0.29,,,,
JAMBERJPN,Japanese amberjack Japan,615891.9073,0.219,134880.3277,,,615891.9073,381043,,134880.3277,,0.219,,,,,,,0.3,,,,
JANCHOPJPN,Japanese anchovy Pacific Coast of Japan,590243.5493,0.45,265609.5972,,,590243.5493,343019,,265609.5972,,0.45,,,,,,,1,,,,
JANCHOSETO,Japanese anchovy Inland Sea of Japan,187524,0.371,69571.404,,,187524,,,69571.404,,0.371,,,,,,,2.4095,,,,
JANCHOTSST,Japanese anchovy Tsushima Strait,402459.978,0.372,149715.1118,,,402459.978,338932,,149715.1118,,0.372,,,,,,,1,,,,
JCSQUIDJPNAR,Japanese flying squid Japan Autumn recruitment,674723,0.446,300926.458,,,674723,,,300926.458,,0.446,,,,,,,1.2,,,,
JCSQUIDJPNWR,Japanese flying squid Japan Winter recruitment,485117,0.459,222668.703,,,485117,,,222668.703,,0.459,,,,,,,1.2,,,,
JMACKPJPN,Japanese jack mackerel Pacific Coast of Japan,208036.8884,0.341,70940.57896,,,208036.8884,116600,,70940.57896,,0.341,,,,,,,0.5,24,,,
JMACKTSST,Japanese jack mackerel Tsushima Strait,528739.5123,0.332,175541.5181,,,528739.5123,292056,,175541.5181,,0.332,,,,,,,0.5,,150000,,
JPUFFIMKB,Japanese pufferfish Ise and Mikawa Bay,470.8994299,0.284,133.7354381,,,470.8994299,252,,133.7354381,,0.284,,,,,,,0.25,,,,
JPUFFSOJECSSI,Japanese pufferfish Sea of Japan and East China Sea and Seto Inland sea,1119.618562,0.23,257.5122692,,,1119.618562,552,,257.5122692,,0.23,,,,,,,0.25,,,,
KCROCKNPAC,Kichiji rockfish North Pacific,4426,0.168,743.568,,,4426,,,743.568,,0.168,,,,,,,0.125,,,,
KELPGREENLINGORECOAST,Kelp greenling Oregon Coast,656,0.125,130,,,656,158.8,,130,,0.125,,,,,1295,321,0.26,,99.25,,
KINGKLIPSA,Kingklip South Africa,,,5855,,,,,,5855,,,,,,,85311,,,,,,
KMACKGM,King mackerel Gulf of Mexico,,,,,,,1229070000,,,0.16365,,,1229070000,0.1227,,,,0.16,,,,
KMACKSATLC,King mackerel Southern Atlantic Coast,,0.157,,,0.1178,,1702000000,,,,0.157,,1702000000,,0.1178,,,,,,,
KMFLOUNBSAI,Kamchatka flounder Bering Sea and Aleutian Islands,,,,,,,46400,,,,,,,,,,,,,,,
LINGCODNPCOAST,Lingcod Northern Pacific Coast,12385.71429,0.14,1734,,,12385.71429,13233.37116,,1734,,0.14,,,,,44536.3,33074.9,0.18,,,,
LINGCODSOG,Lingcod Strait of Georgia,,,763,,,,15924,,763,,,,12739.2,,,,,,,,,
LINGCODSPCOAST,Lingcod Southern Pacific Coast,16291.26214,0.103,1678,,,16291.26214,5856,,1678,,0.103,,,,,,25311,0.18,,,,
LINGVa,Ling Iceland Grounds,,,,,0.18,,,,,0.24,,,9930,0.24,0.18,,,,,7090,,
LISQUIDATLC,Longfin inshore squid Atlantic Coast,42405,,,,,42405,,,,,,,,,,,,,,,,
LNOSESKAPCOAST,Longnose skate Pacific Coast,46962.96296,0.027,1268,,,46962.96296,2626,,1268,,0.027,,,,,,7034,0.2,4617,,,
LOBSTERGB,American lobster Georges Bank,,,,,,,,,,,,,,,,,,0.15,,,,
LOBSTERGOM,American lobster Gulf of Maine,,,,,,,15000,,,,,,,,,,,0.15,,,,
LOBSTERSNE,American lobster Southern New England,,,,,,,,,,,,,,,,,,0.15,,,,
LSTHORNHPCOAST,Longspine thornyhead Pacific Coast,36128.57143,0.07,2529,,0.06,36128.57143,13108,,2529,,0.07,,15654,,0.06,,,0.11,,,,
MACKNEICES,Mackerel ICES Northeast Atlantic,,,,,,,,,,0.21,,,2570000,0.21,,,,0.15,,1940000,0.48,
MEG8c9a,Megrim ICES VIIIc-IXa,,,,,,,,,,0.191,,,980,0.191,,,,0.2,,700,0.45,
MEGVII-VIIIabd,Megrim VII-VIIIabd,,,,,,,,,,0.191,,,41800,0.191,,,,,,37100,0.53,
MENATGM,Gulf menhaden Gulf of Mexico,,,,,,,,,,,,,4.98E+13,3.66,,,,1.22,,2.26E+13,4.88,
MENATLAN,Atlantic menhaden Atlantic,,,,,,,,,,,,,9.95E+13,0.8,,,,0.5,,,,
MHMACKMEDGSA29,Mediterranean horse mackerel Black Sea,,,,,,,,,,0.27,,,,0.27,,,,,,,,
MONKGOMNGB,Monkfish Gulf of Maine / Northern Georges Bank,46074,0.203650649,9383,,,46074,,,9383,0.44,0.203650649,,,,,,,0.3,23037,,0.44,
MONKSGBMATL,Monkfish Southern Georges Bank / Mid-Atlantic,71667,0.199924652,14328,,,71667,,,14328,0.37,0.199924652,,,,,,,0.3,35834,,0.37,
MORWONGESE,Jackass morwong Eastern half of Southeast Australia,,,468.41264,,,,2240.460368,,468.41264,0.132160048,,,3818.34,0.0798984,,9704.4,7954.88,0.15,,1590.976,,
MORWONGWSE,Jackass morwong Western half of Southeast Australia,,,185.2761677,,,,733.8251877,,185.2761677,0.157628385,,,1294.84,0.0917363,,3283.99,2697.59,0.15,,539.518,,
MULLQNSW,Sea Mullet Queensland and New South Wales,,,,,,,,,,,,,,,,,,0.33,,,,
MUTSNAPSATLCGM,Mutton snapper Southern Atlantic coast and Gulf of Mexico,2299.444444,0.18,413.9,,,2299.444444,2109,,413.9,0.34,0.18,,,,,,,0.11,,1877,,0.18
NEPHFU11,Norway lobster North Minch (FU 11),,0.108,,,0.108,,,,,,0.108,,,,0.108,,,,,,,
NEPHFU12,Norway lobster South Minch (FU 12),,0.117,,,0.117,,,,,,0.117,,,,0.117,,,,,,,
NEPHFU13,Norway lobster Firth of Clyde and Sound of Jura (FU 13),,0.151,,,0.151,,,,,,0.151,,,,0.151,,,,,,,
NEPHFU14,Norway lobster Irish Sea East (FU 14),,0.11,,,0.11,,,,,11,0.11,,350,11,0.11,,,,,,,
NEPHFU15,Norway lobster Irish Sea West (FU 15),,18.2,,,18.2,,,,,,18.2,,,,18.2,,,,,,,
NEPHFU16,Norway lobster Porcupine Bank (FU 16),,0.062,,,0.062,,,,,6.2,0.062,,,6.2,0.062,,,,,,,
NEPHFU17,Norway lobster Aran Grounds (FU 17),,0.085,,,0.085,,,,,8.5,0.085,,540,8.5,0.085,,,,,,,
NEPHFU19,Norway lobster South East and West of IRL (FU 19),,0.093,,,0.093,,,,,,0.093,,,,0.093,,,,,,,
NEPHFU2021,"Norway lobster Labadie, Jones and Cockburn (FU 20-21)",,0.06,,,0.06,,,,,,0.06,,,,0.06,,,,,,,
NEPHFU22,Norway lobster Smalls (FU 22),,0.128,,,0.128,,,,,,0.128,,,,0.128,,,,,,,
NEPHFU2829,Norway lobster South-West and South Portugal (FU 28-29),,,,,,,,,,0.22,,,,,,,,,,,,
NEPHFU3-4,Norway lobster Skagerak Kattegat (FU 3-4),,0.079,,,0.079,,,,,,0.079,,,,0.079,,,,,,,
NEPHFU6,Norway lobster Farn Deeps (FU 6),,0.081,,,0.081,,,,,,0.081,,,,0.081,,,,,,,
NEPHFU7,Norway lobster Fladen Ground (FU 7),,0.075,,,0.075,,,,,7.5,0.075,,2.77E+09,7.5,0.075,,,,,,,
NEPHFU8,Norway lobster Firth of Forth (FU 8),,0.163,,,0.163,,,,,,0.163,,,,0.163,,,,,,,
NEPHFU9,Norway lobster Moray Firth (FU 9),,0.118,,,0.118,,,,,,0.118,,,,0.118,,,,,,,
NEPHMEDGSA1,Norway lobster Northern Alboran Sea,,,,,,,,,,,,,,0.2,,,,,,,,
NEPHMEDGSA15-16,Norway lobster Malta Island and South of Sicily,,,,,,,,,,,,,,0.2,,,,,,,,
NEPHMEDGSA17-18,Norway lobster Adriatic Sea,,,,6355,,,,,,0.38,,6355,,,,,,,,,,
NEPHMEDGSA5,Norway Lobster Balearic Island,,,,,,,,,,,,,,0.17,,,,,,,,
NEPHMEDGSA6,Norway lobster Northern Spain,,,,,,,,,,,,,,0.15,,,,,,,,
NEPHMEDGSA9,Norway lobster Ligurian and North Tyrrhenian Sea,,,,,,,,,,,,,,0.21,,,,,,,,
NEPHVIIIab,Norway lobster VIIIab,,0.077,,,0.077,,,,,7.7,0.077,,,7.7,0.077,,,,,,,
NPOUTIIIa-IV,Norway pout IIIa and North Sea,,,,,,,,,,,,,65000,,,,,,100000,39450,,
NROCKBSAI,Northern rockfish Bering Sea and Aleutian Islands,,,,,,,50547,,,0.071,,,,,,,,0.0427,,,,
NROCKGA,Northern rockfish Gulf of Alaska,64270.02848,0.094445267,6070,,,64270.02848,24485,,6070,0.071,0.094445267,,,,,,,0.06,,,,
NRSOLEEBSAI,Northern rock sole Eastern Bering Sea and Aleutian Islands,,,259310,,,,257000,,259310,0.164,,,,,,,,0.18,,,,
NRSOLEGA,Northern rock sole Gulf of Alaska,,,,,,,18100,,,,,,,,,,,,,,,
NSHRIMPCSCH,Nylon shrimp Central-Southern Chile,,,,,,,,,,,,,5287.365,0.293,,,11749.7,0.36,,,,
NSHRIMPNCH,Nylon shrimp Northern Chile,,,,,,,,,,,,,2261.169,0.271,,,5024.82,0.36,,,,
NZLINGESE,New Zealand ling Eastern half of Southeast Australia,,,,,,,3324.48,,,,,,,,,,,0.2,1385.2,,,
NZLINGLIN3-4,New Zealand ling New Zealand Areas LIN 3 and 4,17362.16216,0.37,6424,,,17362.16216,52139.6,,6424,0.19,0.37,,52139.6,,,,130349,0.18,,,,
NZLINGLIN5-6,New Zealand ling New Zealand Areas LIN 5 and 6,159693.6003,0.162260729,23827,,,159693.6003,122923.2,,23827,0.49,0.162260729,,122923.2,,,,307308,0.228,,,,
NZLINGLIN6b,New Zealand ling New Zealand Area LIN 6b,4724.666825,0.189186864,893.8449,,,4724.666825,3014.0994,,893.8449,0.308,0.189186864,,,,,,12363,0.18,,,,
NZLINGLIN72,New Zealand ling New Zealand Area LIN 72,1876.703448,0.29,544.244,,,1876.703448,2951.94,,544.244,0.246,0.29,,2951.94,,,,7379.85,0.20377,,,,
NZLINGLIN7WC,New Zealand ling New Zealand Area LIN 7WC - WCSI,43937.31517,0.137975899,5150,,,43937.31517,29785.2,,5150,0.202,0.137975899,,29785.2,,,,74463,0.22,,,,
NZLINGWSE,New Zealand ling Western half of Southeast Australia,,0.16,,,,,3377.5632,,,,0.16,,,,,,,0.2,1407.318,,,
NZSNAPNZ1BOP-HAGU,New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf,,,,,,,122479.2,,,,,,122479.2,,,,306198,0.075,,,,
NZSNAPNZ1ENLD,New Zealand snapper New Zealand SNA 1 east Northland,,,,,,,28570,,,,,,28570,,,,71425,0.075,,,,
NZSNAPNZ7,New Zealand snapper New Zealand SNA 7,,,699,,,,6198.8,,699,,,,6198.8,0.056,,,15497,0.075,,,,
NZSNAPNZ8,New Zealand snapper New Zealand Area 8,37978.7689,0.060157495,2284.7076,,,37978.7689,23536.1148,,2284.7076,0.0923,0.060157495,,,,,,120884,0.0507649,,,,
OFLOUNECS,Japanese flounder East China Sea,7826.250371,0.151,1181.763806,,,7826.250371,7393,,1181.763806,,0.151,,,,,,,0.208,,2181,,
OFLOUNNSJ,Japanese flounder Sea of Japan North,7171.539737,0.217,1556.224123,,,7171.539737,6160,,1556.224123,,0.217,,,,,,,0.2,,2900,,
OFLOUNPAC,Japanese flounder Pacific Ocean,5146,0.419,2156.174,,,5146,,,2156.174,,0.419,,,,,,,0.21,,1600,,
OFLOUNSETO,Japanese flounder Inland Sea of Japan,4012.184907,0.218,874.6563098,,,4012.184907,2905,,874.6563098,,0.218,,,,,,,0.31,,992,,
OPOUTNWATLC,Ocean pout Northwestern Atlantic Coast,,,3754,,,4.94,,,3754,0.76,,,,,,,,0.2,,,,
OROUGHYCASCADE,Orange roughy Cascade Plateau,,,,,,,,,,,,,,,,,,,,5716.3,,
OROUGHYCH,Orange roughy Chile,,,,,,,4452,,,0.11,,,,,,,,0.045,,,,
OROUGHYESCR,Orange roughy East and South Chatham Rise,,,8640,,0.053,,112000,,8640,,,,112000,,0.053,,320000,0.045,,,,
OROUGHYNWCR,Orange roughy Northwest Chatham Rise,16052.44261,0.086342,1386,,0.053,16052.44261,23100,,1386,,0.086342,,23100,,0.053,,66000,0.045,,,,
OROUGHYNZ7A,Orange roughy New Zealand Challenger Plateau,20764.04494,0.089,1848,,0.054,20764.04494,30800,,1848,,0.089,,30800,,0.054,,88000,0.045,,,,
OROUGHYNZMEC,Orange roughy New Zealand Mid East Coast,55296.60032,0.029115714,2214,,0.051,55296.60032,33250,,2214,0.04,0.029115714,,33250,,0.051,,95000,0.045,,,,
OROUGHYSE,Orange roughy Southeast Australia,,,2191.690032,,,,8142.972187,,2191.690032,0.029519762,,,18687,0.0148098,,169697,38931.4,0.04,,7786.28,,
PACBTUNA,Pacific bluefin tuna Pacific Ocean,251233.3865,0.069039391,17345,,,251233.3865,105960,,17345,0.1171,0.069039391,,,,,,,,,,,
PANCHCCH,Peruvian Anchoveta Central Chile,,,,,,,,,,,,,51000,0.47,,,92500,1.3,,,,
PANCHCSCH,Peruvian Anchoveta Central-Southern Chile,,,,,,,,,,,,,562000,0.396,,,,0.7,,281000,,
PANCHNCHSP,Peruvian Anchoveta Northern Chile Southern Peru,,,,,,,,,,,,,2021000,1.18,,,,1,,,,
PANCHPERUNC,Peruvian anchoveta North-Central Peru,6660000,,,6660000,,6660000,,,,,,6660000,,,,,,,,,,
PANDALGOM,Northern shrimp Gulf of Maine,,,,,,,,,,,,,,,,,,0.25,1540,,0.6,
PANDALI-II,Northern shrimp North-East Arctic,,,,,,,,,,1,,,0.5,1,,,,,,0.3,1.7,
PANDALIIIaW-IVaE,Northern shrimp IIIa (west) and IVa (east),,,,,,,,,,0.62,,,9900,0.62,,,,,,6300,1,
PANDALSFA4,Northern shrimp SFA 4,,,,,,,,,,,,,,,,,,,,21000,,
PANDALSFA5,Northern shrimp SFA 5,,,,,,,,,,,,,,,,,,,,14300,,
PANDALSFA6,Northern shrimp SFA 6,,,,,,,,,,,,,,,,,,,,79600,,
PATGRENADIERCH,Patagonian grenadier Chile,,,,,,,466000,,,,,,,,,,,0.35,,,,
PATGRENADIERSARG,Patagonian grenadier Southern Argentina,642031,0.2058,132131,,,642031,308244,,132131,0.264,0.2058,,,,,,492240,0.35,415041,,,
PAUANPAU5A,Black Foot Paua NZ North PAUA5A,187.1794872,0.39,73,,0.21,187.1794872,495.6,,73,0.50999881,0.39,,495.6,,0.21,,1239,0.15,,,,
PAUAPAU5B,New Zealand abalone species New Zealand Area PAU 5B,283.5820896,0.67,190,,0.3,283.5820896,1346.4,,190,,0.67,,1346.4,,0.3,,3366,0.15,,,,
PAUAPAU5D,New Zealand abalone species New Zealand Area PAU 5D,465.3846154,0.26,121,,0.16,465.3846154,914,,121,,0.26,,914,,0.16,,2285,0.15,,,,
PAUAPAU7,New Zealand abalone species New Zealand Area PAU 7,559.4594595,0.37,207,,0.19,559.4594595,1716.4,,207,0.329973483,0.37,,1716.4,,0.19,,4291,0.11,,,,
PAUASPAU5A,Black Foot Paua NZ South PAUA5A,247.826087,0.23,57,,0.13,247.826087,552.4,,57,0.209981709,0.23,,552.4,,0.13,,1381,0.11,,,,
PCEELARGS,Pink Cusk-eel Southern Argentina,,,11700,,,,,,11700,,,,110823,,,,,0.2,,73882,,
PCEELCSCH,Pink cusk-eel Central-Southern Chile,,,,,,,7492,,,0.158,,,,,,,18700,0.27,,3746,,
PCEELSCH,Pink cusk-eel Southern Chile,,,,,,,3650,,,0.225,,,,,,,18700,0.23,,1825,,
PCOD5AB,Pacific cod Queen Charlotte Sound,,,763.3,,,,,,763.3,,,,,,,9416,,0.426,,,0.21,
PCODBS,Pacific cod Bering Sea,,,,,,,282000,,,,,,,,,,,,,,,
PCODGA,Pacific cod Gulf of Alaska,,,,,,,113800,,,0.69,,,91100,0.54,,,,0.38,,,,
PCODHOKK,Pacific cod Hokkaido,,,,,,,,,,,,,,,,,,0.313,,,,
PCODHS,Pacific cod Hecate Strait,8861,,3313.1,19258,,8861,,,3313.1,0.354,,19258,,,,41949,,0.393,12182,,0.22,
PCODNPAC,Pacific cod North Pacific,1297226,0.145,188097.77,,,1297226,,,188097.77,,0.145,,,,,,,0.313,,,,
PCODSOJ,Pacific cod Sea of Japan,,,,,,,,,,,,,,,,,,0.313,,,,
PCODWCVANI,Pacific cod West Coast of Vancouver Island,6731,,,,,6731,,,,0.226,,,,,,,,0.579,,,,
PERCHEBSAI,Pacific Ocean perch Eastern Bering Sea and Aleutian Islands,,,,,,,148053,,,0.074,,,,,,,,0.062,,,,
PERCHQCI,Pacific Ocean perch Haida Gwaii,14056,0.109,1488,,,14056,7304,,1488,,0.109,,,,,,31242,,,,,
PERCHWCVANI,Pacific Ocean perch West Coast of Vancouver Island,11729,0.091,1048,,,11729,5809,,1048,,0.091,,,,,,21442,,,2324,,
PHAKEPCOAST,Pacific hake Pacific Coast,1222891.566,0.332,406000,,0.19,1222891.566,586000,,406000,,0.332,,959000,,0.19,,2397000,0.226,,,,
PHALNPAC,Pacific halibut North Pacific,,,,,,,65004.32319,,,,,,65004.32319,0.2,,,,,,,,
PHFLOUNNHOKK,Pointhead flounder North coast of Hokkaido,,,,,,,,,,,,,,,,,,0.3,,,,
PHFLOUNSOJ,Pointhead flounder Sea of Japan,9284.68495,0.319,2961.814499,,,9284.68495,4113,,2961.814499,,0.319,,,,,,,0.3,,,,
PICAMEDGSA25,Picarel Cyprus Island,,,,,,,,,,,,,,0.31,,,,,,,,
PILCHPJPN,Japanese sardine Pacific Coast of Japan,628365.7229,0.28,175942.4024,,,628365.7229,361622,,175942.4024,,0.28,,,,,,,4.00E-01,221,,,
PILCHTSST,Japanese sardine Tsushima Strait,203891.5634,0.26,53011.80649,,,203891.5634,122056,,53011.80649,,0.26,,,,,,,0.4,,10000,,
PINKSHRIMPGM,Pink shrimp Gulf of Mexico,,,,,,,10750.13988,,,1.34,,,,,,,,,,10750.13988,,
PLAIC2123,European Plaice Subdivisions 21-23,,,,,,,,,,0.37,,,5550,0.37,,,,,,4077,1.01,
PLAIC7d,European Plaice ICES VIId,,,,,,,,,,0.25,,,25826,0.25,,,,0.1,,18448,0.5,
PLAICCELT,European Plaice ICES VIIf-g,,,,,,,,,,,,,,,,,,0.12,,,,
PLAICECHW,European Plaice ICES VIIe,,,,,,,,,,0.24,,,2443,0.63,,,,0.12,1300,1745,0.88,
PLAICIS,European Plaice Irish Sea,,,,,,,,,,0.169369,,,10392,0.169369,,,,0.12,,4250,0.4805195,
PLAICNS,European Plaice North Sea,,,,,,,,,,0.21,,,564599,0.21,,,,0.1,160000,207288,0.516,
PLAICVIIh-k,European Plaice VIIh-k,,,,,,,,,,,,,328.46,0.31,,,,,,236.37,0.436,
POLL5YZ,Pollock NAFO-5YZ,,,19678,,,,105226,,19678,0.277,,,,,,,,,,52613,0.277,
POLLFAPL,Pollock Faroe Plateau,,,,,,,,,,0.3,,,41400,0.3,,,,,,29571,0.7,
POLLIEG,Pollock Iceland Grounds,,,65000,,,,,,65000,0.28,,,65000,0.2,,,,,,44000,0.46,
POLLNEAR,Pollock Northeast Arctic,,,,,,,,,,,,,220000,0.32,,,,,,136000,0.58,
POLLNS-VI-IIIa,"Pollock ICES IIIa, VI and North Sea",,,2.00E+05,,,,,,200000,0.36,,,150000,0.36,,,,,,107000,0.56,
POPERCHGA,Pacific ocean perch Gulf of Alaska,238361.6198,0.084925585,20243,,,238361.6198,99865,,20243,0.142,0.084925585,,,,,,,0.06,,,,
POPERCHPCOAST,Pacific ocean perch Pacific Coast,50380.95238,0.021,1058,,,50380.95238,2.56E+12,,1058,,0.021,,,,,,6.56E+12,0.05,,,,
PORSHARATL,Porbeagle shark Atlantic Ocean,,,,,,,34573,,,,,,27658,,,,,0.2,,,,
PRCODMEDGSA9,Poor cod Ligurian and North Tyrrhenian Sea,,,,,,,,,,,,,,0.74,,,,,,,,
PSHRMPMEDGSA6,Deep-water Rose Shrimp Northern Spain,,,,,,,,,,,,,,0.27,,,,,,,,
PSOLEPCOAST,Petrale sole Pacific Coast,11763.63636,0.22,2588,,,11763.63636,8369,,2588,0.7,0.22,,,,,41352,26278,,,4185,0.7,
PTOOTHFISHCH,Patagonian Toothfish Chile,,,,,,,96304.05,,,0.073,,,,,,,,0.15,,,,
PTOOTHFISHMI,Patagonian toothfish Macquarie Island,1512.101789,0.121928961,184.369,,,1512.101789,869.707,,184.369,0.0580997,0.121928961,,,,,,,0.13,,,,
PTOOTHFISHPEI,Patagonian toothfish South Africa Subantarctic Prince Edward Islands,,,1514.43,,,,9179.58,,1514.43,0.12,,,,,,59165,37661.9,0.13,,,,
QROCKPCOASTIN,Quillback rockfish Pacific Coast of Canada (Inside),,,144,,,,,,144,,,,,,,,,,,,,
QROCKPCOASTOUT,Quillback rockfish Pacific Coast of Canada (Outside),,,462,,,,,,462,,,,,,,,,,,,,
QUAHATLC,Ocean quahog Atlantic Coast,1730000,,,,,1730000,,,,,,,,,,,,0.02,1390000,,0.022,
RBRMECS,Red seabream East China Sea,96879.9895,0.12,11625.59874,,,96879.9895,87132,,11625.59874,,0.12,,,,,,,0.125,,9900,,
RBRMMEDGSA1-3,Red Seabream Alboran Sea,,,,,,,,,,,,,,,,,,0.2,,,,
RBRMSETOE,Red seabream Inland Sea of Japan (East),21417.43912,0.145,3105.528673,,,21417.43912,16552,,3105.528673,,0.145,,,,,,,0.24,,304,,
RBRMSETOW,Red seabream Inland Sea of Japan (West),24122.13906,0.173,4173.130057,,,24122.13906,18103,,4173.130057,,0.173,,,,,,,0.24,,4212,,
RDSHRMPMEDGSA1,Red shrimp Northern Alboran Sea,,,,,,,,,,,,,,0.41,,,,,,1287,,
RDSHRMPMEDGSA10,Red shrimp South Tyrrhenian Sea,,,,,,,,,,,,,,0.31,,,,,,,,
RDSHRMPMEDGSA15-16,Red shrimp Malta Island and South of Sicily,,,,,,,,,,,,,,0.26,,,,,,,,
RDSHRMPMEDGSA6,Red Shrimp Northern Spain,,,,,,,,,,,,,,0.36,,,,0.46,,224,,
REDDEEP2J3K-3LNO,Deepwater redfish NAFO-2J3K-3LNO,,,22000,,,,,,22000,,,,,,,,,,,,,
REDDEEPDP-1-2-V-XII-XIV,Beaked Redfish Areas V-XII-XIV and NAFO Subareas 1-2 (deep),,,,,,,,,,0.17,,,1.09024,0.17,,,,,,0.7787405,0.24,
REDDEEPUT12,Deepwater redfish Units 1-2,,,21000,,,,,,21000,,,,,,,,,,,,,
REDFEAUS,Redfish Eastern Australia,,,913.2456563,,,,2851.610467,,913.2456563,0.101821512,,,5335.87,0.0527213,,26740.4,11116.4,0.1,,2223.28,,
REDFISHSPP3LN,Redfish species NAFO 3LN,141900,0.172233968,24440,,,141900,,,24440,0.172,0.172233968,,,,,,,,,,,
REDFISHSPP3M,Redfish species NAFO 3M,,,,,,,,,,,,,,,,,,0.1,,,,
REXSOLEGA,Rex sole Gulf of Alaska,,,,,,,,,,0.17,,,,0.128,,,,0.17,,,,
REXSOLEPCOAST,Rex sole Pacific Coast,,,1646,,,,,,1646,0.7,,,,,,,,,,,0.7,
REYEROCKBSAI,Rougheye rockfish Bering Sea and Aleutian Islands,,,,,,,9977,,,0.058,,,,,,,,0.03,,,,
REYEROCKGA,Rougheye rockfish Gulf of Alaska,,,,,,,8912,,,0.048,,,,,,,,0.034,,,,
RGROUPGM,Red grouper Gulf of Mexico,30797.92453,0.212,6529.16,,0.164,30797.92453,2.45E+06,,6529.16,0.22,0.212,,,,0.164,,,0.14,,2.10E+06,0.22,0.212
RGROUPSATL,Red grouper South Atlantic,3680,0.136817935,503.49,,,3680,2592,,503.49,0.22,0.136817935,,,,,,,0.14,,,,
RHERRPAC,Round herring Pacific Ocean,,,,,,,,,,,,,,,,,,0.7,,,,
RHERRTSST,Round herring Tsushima Strait,123571.8285,0.356,43991.57093,,,123571.8285,74564,,43991.57093,,0.356,,,,,,,0.7,,,,
RKCRABBB,Red king crab Bristol Bay,26100,0.33,23645.80209,,,26100,34070,,23645.80209,,0.33,,,,,,,,,,,
